iter	Passed	Remaining
0	1	177
1	3	163
2	4	156
3	6	152
4	7	147
5	9	144
6	10	143
7	12	140
8	13	139
9	15	136
10	16	134
11	18	135
12	19	133
13	21	132
14	22	129
15	24	126
16	25	123
17	26	121
18	27	118
19	29	117
20	30	115
21	31	113
22	33	110
23	34	108
24	35	106
25	36	104
26	37	102
27	39	100
28	40	98
29	41	97
30	42	95
31	44	93
32	45	91
33	46	90
34	47	88
35	49	87
36	50	85
37	51	84
38	52	82
39	54	81
40	55	79
41	56	78
42	57	76
43	58	75
44	60	73
45	61	72
46	62	70
47	63	69
48	64	67
49	66	66
50	67	64
51	68	63
52	70	62
53	71	60
54	72	59
55	73	57
56	74	56
57	75	54
58	76	53
59	77	51
60	78	50
61	79	48
62	80	47
63	81	46
64	82	44
65	83	43
66	85	41
67	86	40
68	87	39
69	88	38
70	89	36
71	91	35
72	92	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	101	25
80	102	24
81	103	22
82	105	21
83	106	20
84	107	18
85	108	17
86	109	16
87	110	15
88	111	13
89	113	12
90	114	11
91	115	10
92	116	8
93	117	7
94	118	6
95	120	5
96	121	3
97	122	2
98	123	1
99	124	0
