name,rating,price,Storage,Lenght,Camera,Battery
"REDMI 12 (Moonstone Silver, 128 GB)",4.2,"₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Infinix HOT 30i (Glacier Blue, 128 GB)",4.2,"₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery
"Infinix HOT 30i (Diamond White, 128 GB)",4.2,"₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery
"Infinix HOT 30i (Diamond White, 64 GB)",4.2,"₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery
"Infinix HOT 30i (Marigold, 64 GB)",4.2,"₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery
"Infinix HOT 30i (Mirror Black, 64 GB)",4.2,"₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery
"Infinix HOT 30i (Mirror Black, 128 GB)",4.2,"₹8,299",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + AI Lens | 5MP Front Camera,5000 mAh Battery
"MOTOROLA Edge 40 Neo (Soothing Sea, 256 GB)",4.3,"₹24,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"MOTOROLA G32 (Mineral Gray, 128 GB)",4.1,"₹9,999",8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery
"MOTOROLA e13 (Aurora Green, 64 GB)",4.1,"₹6,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"REDMI 12 (Pastel Blue, 128 GB)",4.2,"₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"MOTOROLA g54 5G (Midnight Blue, 128 GB)",4.2,"₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"MOTOROLA Edge 40 Neo (Caneel Bay, 128 GB)",4.4,"₹22,999",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"MOTOROLA g54 5G (Pearl Blue, 256 GB)",4.2,"₹15,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",4.4,"₹21,619",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",4.4,"₹21,869",8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",4.4,"₹19,893",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",4.4,"₹19,680",8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"POCO C55 (Power Black, 128 GB)",4.1,"₹7,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery
"vivo T2 5G (Velocity Wave, 128 GB)",4.4,"₹16,999",6 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery
"vivo T2 5G (Nitro Blaze, 128 GB)",4.4,"₹16,999",6 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery
"vivo T2 5G (Velocity Wave, 128 GB)",4.3,"₹18,999",8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery
"APPLE iPhone 14 Plus (Midnight, 128 GB)",4.6,"₹66,999",128 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,"A15 Bionic Chip, 6 Core Processor Processor"
"vivo T2 5G (Nitro Blaze, 128 GB)",4.3,"₹18,999",8 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Full HD+ Display,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery
"POCO C51 (Royal Blue, 64 GB)",4,"₹5,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.56 cm (6.52 inch) HD+ Display,8MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery
"MOTOROLA g54 5G (Mint Green, 256 GB)",4.2,"₹15,999",12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"POCO C55 (Cool Blue, 128 GB)",4.1,"₹7,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.04 cm (6.71 inch) HD+ Display,50MP Dual Rear Camera | 5MP Front Camera,5000 mAh Battery
"POCO M6 Pro 5G (Power Black, 128 GB)",4.3,"₹11,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme C51 (Mint Green, 64 GB)",4.3,"₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery
"realme C51 (Carbon Black, 64 GB)",4.3,"₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,50MP + 0.08MP | 5MP Front Camera,5000 mAh Battery
"MOTOROLA g84 5G (Viva Magneta, 256 GB)",4.2,"₹18,999",12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,5000 mAh Battery
"MOTOROLA g54 5G (Pearl Blue, 128 GB)",4.2,"₹13,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"vivo T2 Pro 5G (Dune Gold, 256 GB)",4.5,"₹24,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 16MP Front Camera,4600 mAh Battery
"vivo T2 Pro 5G (New Moon Black, 256 GB)",4.5,"₹24,999",8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 16MP Front Camera,4600 mAh Battery
"vivo T2 Pro 5G (Dune Gold, 128 GB)",4.5,"₹23,999",8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 16MP Front Camera,4600 mAh Battery
"REDMI 12 (Moonstone Silver, 128 GB)",4.2,"₹10,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme C53 (Champion Black, 128 GB)",4.1,"₹9,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
